gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text,subject_type,V1
133,The Damnation of Theron Ware,"Frederic, Harold",83,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,TRUE,lcsh,"New York (State) -- Fiction, Belief and doubt -- Fiction, Clergy -- Fiction, Psychological fiction, Methodists -- Fiction"
134,"Maria; Or, The Wrongs of Woman","Wollstonecraft, Mary",84,en,NA,Public domain in the USA.,TRUE,lcsh,"Autobiographical fiction, Women -- Fiction, Feminist fiction"
137,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School","Burnett, Frances Hodgson",73,en,School Stories,Public domain in the USA.,TRUE,lcsh,"Schools -- Fiction, London (England) -- Fiction, Boarding schools -- Fiction, Orphans -- Fiction"
139,The Lost World,"Doyle, Arthur Conan",69,en,Science Fiction,Public domain in the USA.,TRUE,lcsh,"Fantasy fiction, South America -- Fiction, Prehistoric peoples -- Fiction, Dinosaurs -- Fiction, Challenger, Professor (Fictitious character) -- Fiction"
140,The Jungle,"Sinclair, Upton",88,en,"Bestsellers, American, 1895-1923/Banned Books from Anne Haight's list/Contemporary Reviews",Public domain in the USA.,TRUE,lcsh,"Stockyards -- Fiction, Meat industry and trade -- Fiction, Immigrants -- Fiction, Working class -- Fiction, Political fiction, Lithuanian Americans -- Fiction, Chicago (Ill.) -- Fiction"
141,Mansfield Park,"Austen, Jane",68,en,NA,Public domain in the USA.,TRUE,lcsh,"Cousins -- Fiction, Adoptees -- Fiction, Love stories, Domestic fiction, Uncles -- Fiction, Country homes -- Fiction, Children of the rich -- Fiction, England -- Fiction, Young women -- Fiction"
142,"The $30,000 Bequest, and Other Stories","Twain, Mark",53,en,NA,Public domain in the USA.,TRUE,lcsh,"United States -- Social life and customs -- Fiction, Humorous stories, American, Short stories"
143,The Mayor of Casterbridge,"Hardy, Thomas",23,en,NA,Public domain in the USA.,TRUE,lcsh,"Men -- England -- Fiction, Mayors -- Fiction, Runaway husbands -- Fiction, Wessex (England) -- Fiction, Atonement -- Fiction, Psychological fiction, Fathers and daughters -- Fiction"
144,The Voyage Out,"Woolf, Virginia",89,en,NA,Public domain in the USA.,TRUE,lcsh,"Bildungsromans, Ocean travel -- Fiction, Women travelers -- Fiction, Young women -- Fiction, Love stories, British -- South America -- Fiction"
145,Middlemarch,"Eliot, George",90,en,Historical Fiction/Best Books Ever Listings,Public domain in the USA.,TRUE,lcsh,"Didactic fiction, Bildungsromans, England -- Fiction, City and town life -- Fiction, Domestic fiction, Love stories, Young women -- Fiction, Married people -- Fiction"
