"Olive, Again","Olive, Again follows the blunt, contradictory yet deeply loveable Olive Kitteridge as she grows older, navigating the second half of her life as she comes to terms with the changes - sometimes welcome, sometimes not - in her own existence ...",ELIZABETH. STROUT
The Deal,"The first book in an all new series featuring college hockey stars and the women they fall for, by New York Times bestseller Elle Kennedy.",Elle Kennedy
Heart of the Matter,"In alternating, pitch-perfect points of view, Emily Giffin creates a moving, luminous story of good people caught in untenable circumstances. Each being tested in ways they never thought possible.",Emily Giffin
Plain Bad Heroines,"A century after the macabre deaths of several students at a New England girls&#39; boarding school, the release of a sensational book on the school&#39;s history inspires a horror film adaptation that renews suspicions of a curse when the cast and ...",Emily M. Danforth
I Like to Watch,"In this collection, including several substantive, never-before-published essays, Nussbaum writes about her passion for television beginning with Buffy--as she writes, a show that was so much more than its critical assessment--the evolution ...",Emily Nussbaum
The Glass Hotel,"In this captivating story of crisis and survival, Emily St. John Mandel takes readers through often hidden landscapes: campgrounds for the near-homeless, underground electronica clubs, the business of international shipping, service in ...",Emily St. John Mandel
Station Eleven,Originally published in hardcover in 2014 by Alfred A. Knopf.,Emily St. John Mandel
The Pull of the Stars,A novel set in 1918 Dublin offers a three-day look at a maternity ward during the height of the Great Flu pandemic.,Emma Donoghue
Room,"Narrator Jack and his mother, who was kidnapped seven years earlier when she was a 19-year-old college student, celebrate his fifth birthday.",Emma Donoghue
All Adults Here,Coming of age isn&#39;t just for kids.,Emma Straub
Dead Wake,A cloth bag containing eight copies of the title and 1 discussion folder.,Erik Larson
I Am Not Your Perfect Mexican Daughter,"&quot;The Absolutely True Diary of a Part-Time Indian&quot; meets &quot;Jane the Virgin&quot; in this poignant but often laugh-out-loud funny contemporary novel about a teenage girl who loses her sister and finds herself amid the pressures, expectations, and ...",Erika L. Sánchez
The Night Circus,"&#39;Playful and intensely imaginative, Erin Morgenstern has created the circus I have always longed for... This is a marvellous book&#39; Audrey Niffeneger, author ofThe Time Traveller&#39;s Wife The circus arrives without warning.",Erin Morgenstern
Ready Player Two,"&quot;Days after winning OASIS founder James Halliday&#39;s contest, Wade Watts makes a discovery that changes everything.",Ernest Cline
Armada,THE NEW NOVEL FROM THE BESTSELLING AUTHOR OF READY PLAYER ONE Itâe(tm)s just another day of high school for Zack Lightman.,Ernest Cline
Ready Player One,"Immersing himself in a mid-21st-century technological virtual utopia to escape an ugly real world of famine, poverty and disease, Wade Watts joins an increasingly violent effort to solve a series of puzzles by the virtual world&#39;s super ...",Ernest Cline
My Grandmother Asked Me to Tell You She's Sorry,"My Grandmother Asked Me to Tell You She&#39;s Sorry is told with the same comic accuracy and beating heart as Fredrik Backman&#39;s internationally bestselling debut novel,A Man Called Ove.",Fredrik Backman
A Man Called Ove,"&quot;If there was an award for &#39;Most Charming Book of the Year, &#39; this first novel by a Swedish blogger-turned-overnight-sensation would win hands down&quot; (Booklist, starred review).",Fredrik Backman
Stephen Florida,A troubled college wrestler in North Dakota falls in love and becomes increasingly unhinged during his final season.,Gabe Habash
